enabled,subsystem,target,name,danger,param1_type,param1_description,param2_type,param2_description,param3_type,param3_description,param4_type,param4_description,param5_type,param5_description,param6_type,param6_description,description,note
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_TARGET_QUATERNION,,float,q_i2t_x,float,q_i2t_y,float,q_i2t_z,float,q_i2t_w,,,,,目標Quaternionを設定する,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_TARGET_QUATERNION_FROM_CURRENT_ATTITUDE,,uint8_t,Axis 0=X@@ 1=Y@@ 2=Z,float,angle_deg(-180~180),,,,,,,,,現在の推定Quaternionをもとに目標Quaternionを設定する,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_LIMIT_MANEUVER_ANGLE,,float,angle_deg(0~180),,,,,,,,,,,目標Quaternion設定時の姿勢変更角度制限を設定する,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_LIMIT_ANGULAR_VELOCITY,,float,angular_velocity_deg_s(0~),,,,,,,,,,,目標角速度制限を設定する,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_REFERENCE_TIME,,double,reference_time_jday,,,,,,,,,,,参照絶対時刻を設定する（TLCで設定すること推奨）,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_CONSTANT_TORQUE,,float,torque_body_x,float,torque_body_y,float,torque_body_z,,,,,,,一定出力トルクを設定する,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_CONSTANT_TORQUE_PERMISSION,,uint8_t,0=DISABLE@@ 1=ENABLE,,,,,,,,,,,一定出力トルクの出力許可フラグを設定する,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_MAX_IN_TORQUE,,float,max_torque_x (>0),float,max_torque_y (>0),float,max_torque_z (>0),,,,,,,内部トルク最大出力制限の設定,
FALSE,CDH,AOBC,APP_AOCS_MANAGER_SET_MAX_EXT_TORQUE,,float,max_torque_x (>0),float,max_torque_y (>0),float,max_torque_z (>0),,,,,,,外部トルク最大出力制限の設定,
FALSE,CDH,AOBC,APP_ORBIT_CALC_SET_METHOD,,uint8_t,0=Kepler; 1=SGP4; 2=Kepler+GPSR; 3=EKF,,,,,,,,,,,軌道伝搬則の選択,
FALSE,CDH,AOBC,APP_ORBIT_CALC_SET_GPSR_UPDATE,,uint8_t,0=disable; 1=enable,,,,,,,,,,,GPSRテレメを用いたKepler軌道伝播を有効にする,
FALSE,CDH,AOBC,APP_KOP_SET_ORBIT_ELEMENTS,,float,semi_major [km],float,eccentricity,float,inclination [rad],float,raan [rad],float,arg_perigee [rad],double,epoch [jday],Kepler軌道伝搬の軌道要素設定,
FALSE,CDH,AOBC,APP_KOP_SAVE_ORBIT_ELEMENTS,,,,,,,,,,,,,,上で設定した軌道要素を使って伝搬計算を始める,
FALSE,CDH,AOBC,APP_SGP4_SET_TLE_LINE1,,uint8_t,epoch_year,double,epoch_day,float,b_star,,,,,,,SGP4軌道伝搬のTLE１行目設定,
FALSE,CDH,AOBC,APP_SGP4_SET_TLE_LINE2,,float,inclination [deg],float,raan [deg],float,eccentricity,float,arg_peri [deg],float,mean_ano [deg],float,mean_motion [rpd],SGP4軌道伝搬のTLE2行目設定,
FALSE,CDH,AOBC,APP_SGP4_SAVE_TLE,,,,,,,,,,,,,,上で設定したTLEを使って伝搬計算を始める,
FALSE,CDH,AOBC,APP_GPSROP_SET_ORBIT_ELEMENTS_THRESHOLD,,uint8_t,oe_id 0=a[km]@@ 1=e@@ 2=i[rad]@@ 3=raan[rad]@@ 4=arg_perigee[rad]@@ 5=epoch[jday],double,value,,,,,,,,,GPSRテレメを用いた軌道要素更新の更新幅閾値を設定する,
FALSE,CDH,AOBC,APP_SUN_POINTING_SET_TARGET,,float,directional_vector_Xb[-],float,directional_vector_Yb[-],float,directional_vector_Zb[-],float,spin_rate [rad/s],,,,,太陽指向時させたい機体軸方向とその軸周りの回転レートを変更,
FALSE,CDH,AOBC,DI_OEM7600_SET_UART_BAUDRATE,,uint8_t,oem_id,uint32_t,baudrate,uint8_t,0=AOBC@@ 1=GPSR,,,,,,,OEM7600のBaudRate変更,
